"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient", "Heat_Flux"
52404, 3.515319859000000e-03, -1.024671366600000e-02, 1.188970230496566e+05, 8.992632014403136e-01, 2.637428932916220e-03, -1.037235510127398e-02
52661, 2.493434235400000e-03, 8.666019672400001e-03, 1.145012612391742e+05, -5.579528494644179e-02, 7.918929818443313e-03, -5.998517512421384e-02
52662, 2.969441608200000e-03, -9.437891076900001e-03, 1.190488119422705e+05, 9.322420743365775e-01, 2.361019711952320e-03, -8.032984346567611e-03
52919, 2.080623294300000e-03, 7.931397465800001e-03, 1.148383005107975e+05, 1.743257190463971e-02, 7.833503235999852e-03, -5.496206077073856e-02
52920, 2.493434235200000e-03, -8.666019672199999e-03, 1.191777609656902e+05, 9.602585739646089e-01, 2.052940983523230e-03, -5.974762210732445e-03
53177, 1.724623063900000e-03, 7.234076671500000e-03, 1.151728204275642e+05, 9.011305350207305e-02, 7.728114365222977e-03, -5.010930617514427e-02
53178, 2.080623294200000e-03, -7.931397465599999e-03, 1.192835609743937e+05, 9.832455328874127e-01, 1.723338744068209e-03, -4.306835452618390e-03
53435, 1.419377890700000e-03, 6.573860295800000e-03, 1.154986417767521e+05, 1.609036145023917e-01, 7.597489136191259e-03, -4.540175681344849e-02
53436, 1.724623063800000e-03, -7.234076671300000e-03, 1.193658232377329e+05, 1.001118492364923e+00, 1.377838212070101e-03, -2.975131354612359e-03
53693, 1.159193085800000e-03, 5.950300022300000e-03, 1.158135201556189e+05, 2.293166179547912e-01, 7.437031422247192e-03, -4.080293020894272e-02
53694, 1.419377890600000e-03, -6.573860295600000e-03, 1.194219652794139e+05, 1.013316362873421e+00, 1.011736755419878e-03, -1.957900505806834e-03
53951, 9.387642339900000e-04, 5.362709417400000e-03, 1.161144745150129e+05, 2.947043771980062e-01, 7.251671110728422e-03, -3.641601154476163e-02
53952, 1.159193085700000e-03, -5.950300022200000e-03, 1.194465610017443e+05, 1.018660226884546e+00, 6.207844670561932e-04, -1.270587383903049e-03
54209, 7.531893325200000e-04, 4.810177416400000e-03, 1.164021402223928e+05, 3.572049372648652e-01, 7.037878130918222e-03, -3.221564468314012e-02
54210, 9.387642339500000e-04, -5.362709417300000e-03, 1.194423668631053e+05, 1.017748974666381e+00, 2.293776903292667e-04, -9.313414889918194e-04
54467, 5.979922705500000e-04, 4.291610919500000e-03, 1.166746184579723e+05, 4.164057453307773e-01, 6.800827842992806e-03, -2.826821370547997e-02
54468, 7.531893324900000e-04, -4.810177416300000e-03, 1.194224876163201e+05, 1.013429849981366e+00, 7.346232161307340e-04, -1.124507600688489e-03
54725, 4.691284474100000e-04, 3.805771252000000e-03, 1.169350378263554e+05, 4.729865471387120e-01, 6.539079574884910e-03, -2.454728450493630e-02
54726, 5.979922705300000e-04, -4.291610919400000e-03, 1.193906586408578e+05, 1.006514431348852e+00, 1.002622988592268e-03, -1.324342878983961e-03
54983, 3.629542982600000e-04, 3.351288627400000e-03, 1.171820822201653e+05, 5.266613946383597e-01, 6.284553982685160e-03, -2.128504185033486e-02
54984, 4.691284473900000e-04, -3.805771251900000e-03, 1.193460575933796e+05, 9.968240498558826e-01, 1.267815278871303e-03, -1.574033202370843e-03
55241, 2.762360161200000e-04, 2.926719015800000e-03, 1.174106137065862e+05, 5.763139793148805e-01, 5.993837337055712e-03, -1.819440553650237e-02
55242, 3.629542982500000e-04, -3.351288627300000e-03, 1.192900736323289e+05, 9.846605252136850e-01, 1.553613820718186e-03, -1.885235485264404e-03
55499, 2.061140379500000e-04, 2.530563704700000e-03, 1.176073090141800e+05, 6.190495802980662e-01, 5.703643657485874e-03, -1.552793343347003e-02
55500, 2.762360161100000e-04, -2.926719015800000e-03, 1.192258435979538e+05, 9.707053925073241e-01, 1.862131846712248e-03, -2.277541951365227e-03
55757, 1.500786146500000e-04, 2.161299885400000e-03, 1.177709219553723e+05, 6.545974408750079e-01, 5.427908789600708e-03, -1.329626404289729e-02
55758, 2.061140379400000e-04, -2.530563704700000e-03, 1.191560940131559e+05, 9.555510379824032e-01, 2.185963949296793e-03, -2.732935708570984e-03
